ds,y
2014-01-02,48.47
2014-01-03,107.0
2014-01-04,91.35
2014-01-05,66.1
2014-01-06,58.2
2014-01-07,0.0
2014-01-08,75.22999999999999
2014-01-09,62.68
2014-01-10,81.3
2014-01-11,87.24
2014-01-12,27.16
2014-01-13,90.2
2014-01-14,62.330000000000005
2014-01-15,58.04
2014-01-16,65.6
2014-01-17,58.379999999999995
2014-01-18,83.33
2014-01-19,32.43
2014-01-20,59.54
2014-01-21,69.34
2014-01-22,52.1
2014-01-23,49.07
2014-01-24,52.61
2014-01-25,81.8
2014-01-26,34.01
2014-01-27,56.81
2014-01-28,58.52
2014-01-29,39.33
2014-01-30,45.26
2014-01-31,47.68
2014-02-01,84.65
2014-02-02,39.7
2014-02-03,64.9
2014-02-04,69.93
2014-02-05,63.62
2014-02-06,80.91
2014-02-07,64.43
2014-02-08,74.18
2014-02-09,56.5
2014-02-10,90.93
2014-02-11,105.09
2014-02-12,107.36999999999999
2014-02-13,84.1
2014-02-14,76.50999999999999
2014-02-15,57.34
2014-02-16,47.88
2014-02-17,72.03999999999999
2014-02-18,97.8
2014-02-19,105.64999999999999
2014-02-20,66.72
2014-02-21,61.739999999999995
2014-02-22,54.870000000000005
2014-02-23,37.34
2014-02-24,50.68
2014-02-25,67.38
2014-02-26,62.01
2014-02-27,58.540000000000006
2014-02-28,71.66
2014-03-01,82.175
2014-03-02,15.94
2014-03-03,36.580000000000005
2014-03-04,84.835
2014-03-05,37.34
2014-03-06,78.6
2014-03-07,48.84
2014-03-08,47.010000000000005
2014-03-09,24.3
2014-03-10,75.83
2014-03-11,68.1
2014-03-12,64.12
2014-03-13,65.47
2014-03-14,37.22
2014-03-15,67.3
2014-03-16,29.08
2014-03-17,64.02
2014-03-18,50.1
2014-03-19,36.82
2014-03-20,64.34
2014-03-21,61.18
2014-03-22,70.38000000000001
2014-03-23,35.739999999999995
2014-03-24,50.78
2014-03-25,61.94
2014-03-26,35.03
2014-03-27,40.03
2014-03-28,40.67
2014-03-29,60.53
2014-03-30,28.34
2014-03-31,44.08
2014-04-01,51.68
2014-04-02,49.58
2014-04-03,32.54
2014-04-04,55.67
2014-04-05,58.28
2014-04-06,25.0
2014-04-07,55.34
2014-04-08,39.08
2014-04-09,33.62
2014-04-10,42.01
2014-04-11,44.0
2014-04-12,73.86
2014-04-13,23.0
2014-04-14,59.65
2014-04-15,55.44
2014-04-16,43.83
2014-04-17,47.879999999999995
2014-04-18,61.3
2014-04-19,51.99
2014-04-20,0.0
2014-04-21,27.62
2014-04-22,57.805
2014-04-23,48.58
2014-04-24,45.1
2014-04-25,49.92
2014-04-26,70.50999999999999
2014-04-27,38.54
2014-04-28,48.53
2014-04-29,54.449999999999996
2014-04-30,79.12
2014-05-01,0.0
2014-05-02,91.48
2014-05-03,35.44
2014-05-04,33.56
2014-05-05,47.785
2014-05-06,60.7
2014-05-07,52.45
2014-05-08,46.14
2014-05-09,44.2
2014-05-10,83.4
2014-05-11,34.68
2014-05-12,43.68
2014-05-13,81.72
2014-05-14,42.32
2014-05-15,36.66
2014-05-16,60.34
2014-05-17,65.02
2014-05-18,26.740000000000002
2014-05-19,48.08
2014-05-20,51.975
2014-05-21,41.58
2014-05-22,28.21
2014-05-23,55.74
2014-05-24,61.713
2014-05-25,27.0
2014-05-26,44.42
2014-05-27,55.94
2014-05-28,34.14
2014-05-29,57.64
2014-05-30,47.54
2014-05-31,66.00999999999999
2014-06-01,21.68
2014-06-02,63.64
2014-06-03,48.4
2014-06-04,42.68
2014-06-05,41.019999999999996
2014-06-06,49.305
2014-06-07,75.18
2014-06-08,33.0
2014-06-09,62.67
2014-06-10,65.16
2014-06-11,58.82
2014-06-12,41.14
2014-06-13,33.68
2014-06-14,37.019999999999996
2014-06-15,18.64
2014-06-16,49.28
2014-06-17,42.34
2014-06-18,36.7
2014-06-19,30.33
2014-06-20,44.86
2014-06-21,47.68
2014-06-22,40.019999999999996
2014-06-23,55.22
2014-06-24,57.34
2014-06-25,74.14
2014-06-26,50.6
2014-06-27,60.64
2014-06-28,51.68
2014-06-29,14.0
2014-06-30,43.34
2014-07-01,39.68
2014-07-02,44.94
2014-07-03,38.51
2014-07-04,45.54
2014-07-05,62.68
2014-07-06,28.2
2014-07-07,37.34
2014-07-08,34.68
2014-07-09,39.540000000000006
2014-07-10,77.19
2014-07-11,46.379999999999995
2014-07-12,80.62
2014-07-13,23.34
2014-07-14,46.84
2014-07-15,40.919999999999995
2014-07-16,40.34
2014-07-17,51.0
2014-07-18,40.04
2014-07-19,50.75
2014-07-20,17.44
2014-07-21,51.68
2014-07-22,32.68
2014-07-23,41.04
2014-07-24,41.74
2014-07-25,43.519999999999996
2014-07-26,70.08
2014-07-27,28.34
2014-07-28,25.439999999999998
2014-07-29,40.019999999999996
2014-07-30,45.019999999999996
2014-07-31,26.84
2014-08-01,38.2
2014-08-02,62.01
2014-08-03,25.0
2014-08-04,54.519999999999996
2014-08-05,32.44
2014-08-06,39.4
2014-08-07,58.019999999999996
2014-08-08,46.04
2014-08-09,63.24
2014-08-10,17.34
2014-08-11,62.56
2014-08-12,29.46
2014-08-13,43.980000000000004
2014-08-14,45.74
2014-08-15,50.56
2014-08-16,64.43
2014-08-17,17.52
2014-08-18,65.94
2014-08-19,56.89
2014-08-20,34.08
2014-08-21,43.2
2014-08-22,47.68
